date,open,high,low,close,volume,dividend_amount
26-04-2007,260,260,247.65,253.25,814826,0
27-04-2007,240,240,210,217.1,6662858,0
30-04-2007,220,220,210,210.85,1349293,0
03-05-2007,213,215,211.4,211.7,626512,0
04-05-2007,213,218.15,212,217.45,1074122,0
07-05-2007,220,221.5,213.5,214.45,359374,0
08-05-2007,214,217,211,211.55,293502,0
09-05-2007,212.1,213,207.1,207.85,865872,0
10-05-2007,209,210.95,207,207.95,577249,0
11-05-2007,206,206.75,202.5,204.95,663108,0
14-05-2007,206.5,212.2,206,211.1,442502,0
15-05-2007,210,211.95,208.75,211.4,666540,0
16-05-2007,211.2,212.9,208.55,209.8,680025,0
17-05-2007,210,212,207.1,208.4,915567,0
18-05-2007,208,210.25,207.25,209.2,415485,0
21-05-2007,210,212,207.2,207.95,440445,0
22-05-2007,209,209.45,207.05,207.6,287654,0
23-05-2007,208,209.5,206,208.25,294497,0
24-05-2007,209,209,206,206.65,159721,0
25-05-2007,205.9,206,203.25,204.95,492969,0
28-05-2007,207,210.8,206.05,208.25,643287,0
29-05-2007,209.9,221,208.65,218.55,1176360,0
30-05-2007,219.55,224.5,213.65,214.75,1444112,0
31-05-2007,217,219,215.5,217.65,563766,0
01-06-2007,220,225,219,224.2,1094616,0
04-06-2007,225.35,228.7,216.5,217.5,779522,0
05-06-2007,216,220,215.45,215.8,488053,0
06-06-2007,215,219.2,211.6,213.05,728378,0
07-06-2007,212,216.5,211,212.25,659074,0
08-06-2007,210,213.9,208.5,211.6,450841,0
11-06-2007,212,215.4,210.4,211.2,317312,0
12-06-2007,211.5,212.85,206.5,208.25,314102,0
13-06-2007,208.5,212.4,206.1,208.45,622876,0
14-06-2007,210,212.4,209,209.4,210331,0
15-06-2007,211.65,211.9,208.55,209.5,574207,0
18-06-2007,212,212,207.5,208.3,536126,0
19-06-2007,208.8,210.35,207,207.45,422067,0
20-06-2007,209,211,208.5,210.2,644374,0
21-06-2007,210.45,212,209,209.95,1020923,0
22-06-2007,210.5,212.8,209.15,209.7,310348,0
25-06-2007,210,210.5,205.25,206,377130,0
26-06-2007,206,207.45,205,206.45,278536,0
27-06-2007,207.5,207.5,205,205.4,171920,0
28-06-2007,206.95,207.5,202.5,203.05,311485,0
29-06-2007,205,211,203.6,208.45,606915,0
02-07-2007,211.1,213.5,209.5,210.05,904035,0
03-07-2007,211.5,216.8,211,213.55,1114776,0
04-07-2007,215,220.45,213.75,218.45,2216049,0
05-07-2007,219.9,221.9,215.35,216.25,1205691,0
06-07-2007,218,219.7,211.4,212.1,1317646,0
09-07-2007,215.5,215.5,210.3,211.15,564984,0
10-07-2007,212.1,214.9,210.95,211.6,642932,0
11-07-2007,212.55,213.5,209.15,211.65,383327,0
12-07-2007,214,217.9,212.55,213.5,624465,0
13-07-2007,215.25,215.9,211,211.35,389859,0
16-07-2007,211.9,213,207.9,208.55,611737,0
17-07-2007,209.9,211,205.1,206.4,683180,0
18-07-2007,208.9,208.9,205.1,206.3,475622,0
19-07-2007,208,208,205.05,205.45,342824,0
20-07-2007,206.75,207.3,200.2,200.9,1967274,0
23-07-2007,195.1,199.85,191,191.35,2444900,0
24-07-2007,190.05,193.65,187.6,188.2,1076484,0
25-07-2007,188.35,188.35,184.35,186.15,668728,0
26-07-2007,188,194.7,186.2,193.55,874332,0
27-07-2007,190,193,188,188.55,589709,0
30-07-2007,187,191,186,188.85,286514,0
31-07-2007,190,193,188.55,190.7,231705,0
01-08-2007,189,189,184.05,185.7,787743,0
02-08-2007,185.55,187,184.15,185.85,274362,0
03-08-2007,185,187.6,184,187.1,459019,0
06-08-2007,185.5,185.9,182.15,184.3,262849,0
07-08-2007,186,187.85,184.6,187.05,619433,0
08-08-2007,187.95,187.95,184.05,186.3,438763,2
09-08-2007,188,191.35,186.75,188,707023,0
10-08-2007,184.25,185.35,182.15,184.75,334750,0
13-08-2007,187.8,191.7,184.55,190.9,425015,0
14-08-2007,191.4,193.75,189.8,190.4,369847,0
16-08-2007,187.8,187.9,182,182.9,396672,0
17-08-2007,184.7,185,176.05,183.35,594785,0
20-08-2007,186,188,183.5,184.1,179054,0
21-08-2007,184,186.45,176,177.2,257408,0
22-08-2007,178.05,179.8,160,175.55,1122611,0
23-08-2007,176.1,179.75,166.85,167.8,650304,0
24-08-2007,169.9,172.8,167.25,170.95,409257,0
27-08-2007,172.5,174.05,170,170.3,573947,0
28-08-2007,175,175,170,170.7,340192,0
29-08-2007,168,171,167.45,169.75,341874,0
30-08-2007,172,172,164.7,165.2,883200,0
31-08-2007,166,169,165.5,167.35,556018,0
03-09-2007,167.35,173.15,167.35,171.95,841713,0
04-09-2007,173,181.9,173,179.6,1456010,0
05-09-2007,181,185.35,180.5,182.95,932407,0
06-09-2007,183,185.65,181,185,431962,0
07-09-2007,186,186.75,179.8,180.65,641687,0
10-09-2007,180,181.75,177.5,178.75,391617,0
11-09-2007,180,181.85,177.35,177.7,285674,0
12-09-2007,179.5,179.9,175,175.25,291567,0
13-09-2007,175.5,177.8,172.25,175.05,439441,0
14-09-2007,177,177.5,171.1,172.05,336764,0
17-09-2007,170.05,174.7,170.05,171.95,244741,0
18-09-2007,171.25,172.8,167.9,168.5,725311,0
19-09-2007,173,173,168.5,169.5,654461,0
20-09-2007,172.9,172.9,168,168.95,773412,0
21-09-2007,169,169.85,166,167.4,596570,0
24-09-2007,169.95,169.95,166.55,167.35,542251,0
25-09-2007,168,172,165.05,169.3,868913,0
26-09-2007,171,172,170,170.8,524504,0
27-09-2007,171.9,176.95,171.6,176.2,1521487,0
28-09-2007,177,183.95,177,182.4,1257257,0
01-10-2007,185,190,183.3,188.65,1139332,0
03-10-2007,190.4,192,181,185,992821,0
04-10-2007,185,189.9,181.55,189.05,651867,0
05-10-2007,190,191.5,186,188.95,975573,0
08-10-2007,189.8,190,181.95,187.9,857479,0
09-10-2007,185,188.5,182.1,188.1,430295,0
10-10-2007,189,194.4,187.1,193.25,1089672,0
11-10-2007,195,197,190,191.05,944732,0
12-10-2007,196.75,196.75,183.5,184.75,851537,0
15-10-2007,186.95,188.95,185.15,186.75,281002,0
16-10-2007,188,188.75,184,184.5,209013,0
17-10-2007,182,182,172,179.35,575240,0
18-10-2007,183,187.6,180.1,182.5,500634,0
19-10-2007,180,185,178,178.2,277431,0
22-10-2007,180,180.9,173.1,180.25,281964,0
23-10-2007,183.95,194.5,181.35,193.3,959231,0
24-10-2007,195,200,190.8,196.6,1628322,0
25-10-2007,196.5,198.8,185.5,186.75,1111411,0
26-10-2007,187,190,184,185,760366,0
