date,open,high,low,close,volume,dividend_amount
2010-02-11,1029.65,1044.0,1029.3,1035.0,560475.0,0.0
2010-02-15,1045.0,1045.0,1020.6,1027.9,512620.0,0.0
2010-02-16,1032.0,1036.5,1018.0,1025.9,1037120.0,0.0
2010-02-17,1032.0,1074.0,1032.0,1067.55,2289410.0,0.0
2010-02-18,1075.0,1115.9,1069.0,1100.8,4733395.0,0.0
2010-02-19,1090.0,1103.3,1065.0,1096.0,2951720.0,0.0
2010-02-22,1105.0,1115.0,1098.3,1104.6,1591540.0,0.0
2010-02-23,1080.0,1129.5,1048.0,1098.35,1997360.0,0.0
2010-02-24,1095.0,1109.9,1075.3,1093.35,1248085.0,0.0
2010-02-25,1098.0,1107.0,1082.0,1097.95,997165.0,0.0
2010-02-26,1099.0,1137.0,1093.05,1124.85,1129245.0,0.0
2010-03-02,1136.0,1174.75,1133.0,1152.7,1421180.0,0.0
2010-03-03,1157.65,1175.0,1142.45,1148.15,1251955.0,0.0
2010-03-04,1145.3,1151.0,1112.5,1121.65,1162650.0,0.0
2010-03-05,1134.0,1139.55,1098.2,1102.8,1765545.0,0.0
2010-03-08,1114.0,1134.5,1107.0,1128.4,1547930.0,0.0
2010-03-09,1137.65,1137.65,1108.85,1115.4,757375.0,0.0
2010-03-10,1105.0,1141.9,1105.0,1129.9,884225.0,0.0
2010-03-11,1132.85,1155.0,1130.25,1151.25,1253260.0,0.0
2010-03-12,1153.0,1161.0,1143.0,1151.95,1200825.0,0.0
2010-03-15,1111.0,1152.15,1111.0,1139.8,488825.0,0.0
2010-03-16,1140.0,1148.9,1132.6,1145.15,459105.0,0.0
2010-03-17,1152.0,1156.9,1140.05,1145.7,631595.0,0.0
2010-03-18,1148.7,1171.9,1145.25,1164.9,2862575.0,0.0
2010-03-19,1164.0,1170.8,1152.0,1155.15,513505.0,0.0
2010-03-22,1137.0,1150.0,1112.0,1146.8,424830.0,0.0
2010-03-23,1158.8,1169.7,1150.0,1160.65,605825.0,0.0
2010-03-25,1157.0,1164.5,1147.0,1154.4,368105.0,0.0
2010-03-26,1159.95,1195.8,1151.3,1191.65,1084420.0,0.0
2010-03-29,1195.0,1215.4,1189.0,1199.7,1063290.0,0.0
2010-03-30,1202.0,1206.0,1169.0,1173.15,641580.0,0.0
2010-03-31,1173.0,1184.0,1162.35,1169.1,467415.0,0.0
2010-04-01,1199.0,1199.0,1168.25,1173.7,571050.0,0.0
2010-04-05,1180.0,1193.7,1158.55,1174.25,583120.0,0.0
2010-04-06,1177.85,1182.25,1165.45,1171.35,971260.0,0.0
2010-04-07,1182.0,1192.8,1146.2,1164.2,10667985.0,0.0
2010-04-08,1142.25,1167.0,1142.25,1156.3,899505.0,0.0
2010-04-09,1160.0,1199.0,1159.1,1182.35,1943585.0,0.0
2010-04-12,1198.7,1220.0,1165.0,1177.3,1026845.0,0.0
2010-04-13,1175.0,1177.3,1152.4,1157.8,651485.0,0.0
2010-04-15,1176.0,1176.0,1145.0,1149.25,998935.0,0.0
2010-04-16,1140.0,1160.0,1132.05,1150.45,1056400.0,0.0
2010-04-19,1135.0,1162.75,1129.0,1157.4,620125.0,0.0
2010-04-20,1161.85,1193.0,1161.3,1186.5,2467685.0,0.0
2010-04-21,1195.0,1251.0,1195.0,1239.15,4101535.0,0.0
2010-04-22,1230.0,1242.0,1220.0,1225.7,1376905.0,0.0
2010-04-23,1227.8,1239.15,1223.0,1233.4,1768655.0,0.0
2010-04-26,1240.0,1282.5,1240.0,1274.85,1816850.0,0.0
2010-04-27,1270.0,1284.0,1268.0,1278.35,956270.0,0.0
2010-04-28,1270.0,1270.0,1242.85,1258.95,566050.0,0.0
2010-04-29,1269.0,1284.9,1260.0,1271.7,1151675.0,0.0
2010-04-30,1287.0,1287.0,1263.2,1268.2,766180.0,0.0
2010-05-03,1264.7,1272.95,1253.55,1262.1,267025.0,0.0
2010-05-04,1273.0,1290.0,1242.0,1247.35,1386665.0,0.0
2010-05-05,1211.3,1250.0,1211.3,1241.55,1131540.0,0.0
2010-05-06,1236.3,1248.0,1220.25,1236.0,820200.0,0.0
